customerID,companyName,contactName,contactTitle,phone,fax,country,region,city,postalCode,address
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,030-0074321,030-0076545,Germany,NULL,Berlin,12209,Obere Str. 57
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,(5) 555-4729,(5) 555-3745,Mexico,NULL,México D.F.,5021,Avda. de la Constitución 2222
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,(5) 555-3932,NULL,Mexico,NULL,México D.F.,5023,Mataderos  2312
AROUT,Around the Horn,Thomas Hardy,Sales Representative,(171) 555-7788,(171) 555-6750,UK,NULL,London,WA1 1DP,120 Hanover Sq.
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,0921-12 34 65,0921-12 34 67,Sweden,NULL,Luleå,S-958 22,Berguvsvägen  8
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,0621-08460,0621-08924,Germany,NULL,Mannheim,68306,Forsterstr. 57
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,88.60.15.31,88.60.15.32,France,NULL,Strasbourg,67000,"24, place Kléber"
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,(91) 555 22 82,(91) 555 91 99,Spain,NULL,Madrid,28023,"C/ Araquil, 67"
BONAP,Bon app',Laurence Lebihan,Owner,91.24.45.40,91.24.45.41,France,NULL,Marseille,13008," 12, rue des Bouchers"
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,(604) 555-4729,(604) 555-3745,Canada,BC,Tsawassen,T2F 8M4,23 Tsawassen Blvd.
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,(171) 555-1212,NULL,UK,NULL,London,EC2 5NT,Fauntleroy Circus
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,(1) 135-5555,(1) 135-4892,Argentina,NULL,Buenos Aires,1010,Cerrito 333
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,(5) 555-3392,(5) 555-7293,Mexico,NULL,México D.F.,5022,Sierras de Granada 9993
CHOPS,Chop-suey Chinese,Yang Wang,Owner,0452-076545,NULL,Switzerland,NULL,Bern,3012,Hauptstr. 29
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,(11) 555-7647,NULL,Brazil,SP,Sao Paulo,05432-043,"Av. dos Lusíadas, 23"
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,(171) 555-2282,(171) 555-9199,UK,NULL,London,WX1 6LT,Berkeley Gardens 12  Brewery
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,0241-039123,0241-059428,Germany,NULL,Aachen,52066,Walserweg 21
DUMON,Du monde entier,Janine Labrune,Owner,40.67.88.88,40.67.89.89,France,NULL,Nantes,44000," 67, rue des Cinquante Otages"
EASTC,Eastern Connection,Ann Devon,Sales Agent,(171) 555-0297,(171) 555-3373,UK,NULL,London,WX3 6FW,35 King George
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,7675-3425,7675-3426,Austria,NULL,Graz,8010,Kirchgasse 6
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,(11) 555-9857,NULL,Brazil,SP,Sao Paulo,05442-030,"Rua Orós, 92"
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,(91) 555 94 44,(91) 555 55 93,Spain,NULL,Madrid,28034,"C/ Moralzarzal, 86"
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,20.16.10.16,20.16.10.17,France,NULL,Lille,59000,"184, chaussée de Tournai"
FOLKO,Folk och fä HB,Maria Larsson,Owner,0695-34 67 21,NULL,Sweden,NULL,Bräcke,S-844 67,Åkergatan 24
FRANK,Frankenversand,Peter Franken,Marketing Manager,089-0877310,089-0877451,Germany,NULL,München,80805,Berliner Platz 43
FRANR,France restauration,Carine Schmitt,Marketing Manager,40.32.21.21,40.32.21.20,France,NULL,Nantes,44000," 54, rue Royale"
